거래일,연료원,거래시간,전력거래량(MWh)
2023-11-02,매립가스,14,28
2023-11-02,매립가스,15,28
2023-11-02,매립가스,16,29
2023-11-02,매립가스,17,29
2023-11-02,매립가스,18,29
2023-11-02,매립가스,19,29
2023-11-02,매립가스,20,29
2023-11-02,매립가스,21,30
2023-11-02,매립가스,22,29
2023-11-02,매립가스,23,29
2023-11-02,매립가스,24,29
2023-11-02,중유,1,5
2023-11-02,중유,2,5
2023-11-02,중유,3,5
2023-11-02,중유,4,5
2023-11-02,중유,5,6
2023-11-02,중유,6,6
2023-11-02,중유,7,6
2023-11-02,중유,8,6
2023-11-02,중유,9,6
2023-11-02,중유,10,6
2023-11-02,중유,11,6
2023-11-02,중유,12,6
2023-11-02,중유,13,5
2023-11-02,중유,14,5
2023-11-02,중유,15,6
2023-11-02,중유,16,6
2023-11-02,중유,17,5
2023-11-02,중유,18,5
2023-11-02,중유,19,5
2023-11-02,중유,20,6
2023-11-02,중유,21,5
2023-11-02,중유,22,5
2023-11-02,중유,23,6
2023-11-02,중유,24,6
2023-11-02,태양광,1,3
2023-11-02,태양광,2,1
2023-11-02,태양광,3,0
2023-11-02,태양광,4,0
2023-11-02,태양광,5,0
2023-11-02,태양광,6,0
2023-11-02,태양광,7,1
2023-11-02,태양광,8,238
2023-11-02,태양광,9,1265
2023-11-02,태양광,10,2523
2023-11-02,태양광,11,3400
2023-11-02,태양광,12,4046
2023-11-02,태양광,13,4382
2023-11-02,태양광,14,4367
2023-11-02,태양광,15,3997
2023-11-02,태양광,16,2882
2023-11-02,태양광,17,1669
2023-11-02,태양광,18,864
2023-11-02,태양광,19,904
2023-11-02,태양광,20,845
2023-11-02,태양광,21,560
2023-11-02,태양광,22,217
2023-11-02,태양광,23,92
2023-11-02,태양광,24,25
2023-11-02,폐기물,1,117
2023-11-02,폐기물,2,118
2023-11-02,폐기물,3,115
2023-11-02,폐기물,4,116
2023-11-02,폐기물,5,117
2023-11-02,폐기물,6,117
2023-11-02,폐기물,7,116
2023-11-02,폐기물,8,114
2023-11-02,폐기물,9,113
2023-11-02,폐기물,10,113
2023-11-02,폐기물,11,112
2023-11-02,폐기물,12,111
2023-11-02,폐기물,13,114
2023-11-02,폐기물,14,113
2023-11-02,폐기물,15,115
2023-11-02,폐기물,16,117
2023-11-02,폐기물,17,118
2023-11-02,폐기물,18,120
2023-11-02,폐기물,19,121
2023-11-02,폐기물,20,122
2023-11-02,폐기물,21,119
2023-11-02,폐기물,22,119
2023-11-02,폐기물,23,118
2023-11-02,폐기물,24,119
2023-11-02,풍력,1,747
2023-11-02,풍력,2,705
2023-11-02,풍력,3,789
2023-11-02,풍력,4,804
2023-11-02,풍력,5,753
2023-11-02,풍력,6,619
2023-11-02,풍력,7,596
2023-11-02,풍력,8,595
2023-11-02,풍력,9,580
2023-11-02,풍력,10,542
2023-11-02,풍력,11,525
2023-11-02,풍력,12,561
2023-11-02,풍력,13,568
2023-11-02,풍력,14,574
2023-11-02,풍력,15,567
2023-11-02,풍력,16,557
2023-11-02,풍력,17,578
2023-11-02,풍력,18,606
2023-11-02,풍력,19,689
2023-11-02,풍력,20,744
2023-11-02,풍력,21,774
2023-11-02,풍력,22,724
2023-11-02,풍력,23,730
2023-11-02,풍력,24,756
2023-11-02,LNG,1,10970
2023-11-02,LNG,2,10066
2023-11-02,LNG,3,9324
2023-11-02,LNG,4,9350
2023-11-02,LNG,5,9552
2023-11-02,LNG,6,10516
2023-11-02,LNG,7,12776
2023-11-02,LNG,8,15912
2023-11-02,LNG,9,17236
2023-11-02,LNG,10,17252
2023-11-02,LNG,11,16347
2023-11-02,LNG,12,14964
2023-11-02,LNG,13,13597
2023-11-02,LNG,14,14480
2023-11-02,LNG,15,15760
2023-11-02,LNG,16,17703
2023-11-02,LNG,17,20495
2023-11-02,LNG,18,20960
2023-11-02,LNG,19,20487
2023-11-02,LNG,20,18972
2023-11-02,LNG,21,17406
2023-11-02,LNG,22,15989
2023-11-02,LNG,23,15432
2023-11-02,LNG,24,14519
2023-11-02,연료전지,1,826
2023-11-02,연료전지,2,827
2023-11-02,연료전지,3,829
2023-11-02,연료전지,4,829
2023-11-02,연료전지,5,829
2023-11-02,연료전지,6,830
2023-11-02,연료전지,7,830
2023-11-02,연료전지,8,831
2023-11-02,연료전지,9,831
2023-11-02,연료전지,10,830
2023-11-02,연료전지,11,829
2023-11-02,연료전지,12,829
2023-11-02,연료전지,13,829
2023-11-02,연료전지,14,828
2023-11-02,연료전지,15,827
2023-11-02,연료전지,16,827
2023-11-02,연료전지,17,828
2023-11-02,연료전지,18,829
2023-11-02,연료전지,19,830
2023-11-02,연료전지,20,831
2023-11-02,연료전지,21,831
2023-11-02,연료전지,22,832
2023-11-02,연료전지,23,830
2023-11-02,연료전지,24,830
2023-11-02,경유,1,0
2023-11-02,경유,2,0
2023-11-02,경유,3,0
2023-11-02,경유,4,0
2023-11-02,경유,5,0
2023-11-02,경유,6,0
2023-11-02,경유,7,0
2023-11-02,경유,8,0
2023-11-02,경유,9,0
2023-11-02,경유,10,0
2023-11-02,경유,11,0
2023-11-02,경유,12,0
2023-11-02,경유,13,0
2023-11-02,경유,14,0
2023-11-02,경유,15,0
2023-11-02,경유,16,0
2023-11-02,경유,17,0
2023-11-02,경유,18,0
2023-11-02,경유,19,0
2023-11-02,경유,20,0
2023-11-02,경유,21,0
2023-11-02,경유,22,0
2023-11-02,경유,23,0
2023-11-02,경유,24,0
2023-11-02,해양에너지,1,0
2023-11-02,해양에너지,2,0
2023-11-02,해양에너지,3,0
2023-11-02,해양에너지,4,0
2023-11-02,해양에너지,5,55
2023-11-02,해양에너지,6,151
2023-11-02,해양에너지,7,169
2023-11-02,해양에너지,8,146
2023-11-02,해양에너지,9,86
2023-11-02,해양에너지,10,0
2023-11-02,해양에너지,11,0
2023-11-02,해양에너지,12,0
2023-11-02,해양에너지,13,0
2023-11-02,해양에너지,14,0
2023-11-02,해양에너지,15,0
2023-11-02,해양에너지,16,0
2023-11-02,해양에너지,17,58
2023-11-02,해양에너지,18,191
2023-11-02,해양에너지,19,227
2023-11-02,해양에너지,20,227
2023-11-02,해양에너지,21,188
2023-11-02,해양에너지,22,115
2023-11-02,해양에너지,23,14
2023-11-02,해양에너지,24,0
