기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2022/03,합계,합계,합계,합계,23250,36937.882,400,960.155,41201.45700000001,4700,790.0489999999995,346.33,19193.905628004133,1726.8429999999996,1838.0354,255.5,1446.092,0,514.70336,133560.95238800414
2022/02,합계,합계,합계,합계,23250,36937.882,400,960.155,41201.457,4700,782.1039999999996,346.33,18708.80398300537,1726.8429999999998,1840.1054,255.5,1445.5780000000002,0,514.69882,133069.45720300535
2022/01,합계,합계,합계,합계,23250,36937.882,400,2160.155,41201.457,4700,782.7489999999997,346.33,18560.524858005083,1726.8429999999998,1841.3354,255.5,1446.0320000000002,0,514.69882,134123.50707800506
2021/12,합계,합계,합계,합계,23250,36937.882,400,2159.025,41683.147000000004,4700,737.1089999999997,346.33,18160.57549300473,1708.043,1841.1414,255.5,1445.034,0,515.602,134139.46889300473
2021/11,합계,합계,합계,합계,23250,37437.882,400,2159.025,41169.767,4700,730.6339999999997,346.33,17717.41863800459,1708.043,1841.1414,255.5,1445.034,0,515.602,133676.4570380046
2021/10,합계,합계,합계,합계,23250,36397.882,400,2159.025,41169.767,4700,710.8339999999997,346.33,17534.1561680046,1708.043,1823.1414,255.5,1445.034,0,515.602,132415.3945680046
2021/09,합계,합계,합계,합계,23250,36397.882,400,2159.025,41169.767,4700,710.8339999999997,346.33,17258.127575004626,1708.043,1818.2514,255.5,1420.1940000000002,0,515.482,132109.4359750046
2021/08,합계,합계,합계,합계,23250,36397.882,400,2159.025,41169.767,4700,691.0339999999998,346.33,16935.800326004315,1690.043,1818.9164,255.5,1320.1940000000002,0,515.2019999999999,131649.6937260043
2021/07,합계,합계,합계,합계,23250,36397.882,400,2159.025,41169.767,4700,674.9839999999998,346.33,16642.76898600411,1692.023,1818.5864,255.5,1320.479,0,514.204,131341.5493860041
2021/06,합계,합계,합계,합계,23250,35379.882,400,2159.025,41169.767,4700,674.9839999999998,346.33,16018.459303003832,1692.023,1818.5864,255.5,1319.8790000000001,0,514.6709999999999,129699.10670300381
2021/05,합계,합계,합계,합계,23250,35379.882,400,2159.025,41169.767,4700,658.7039999999996,346.33,15927.410610003803,1692.2024,1810.6494,255.5,1319.3310000000001,0,514.6039999999999,129583.40541000379
2021/04,합계,합계,합계,합계,23250,34333.426999999996,400,2159.025,41169.767,4700,658.7039999999996,346.33,15896.882770003798,1692.2024,1805.6494,255.5,1319.872,0,514.6039999999999,128501.96357000379
2021/03,합계,합계,합계,합계,23250,35459.882,400,2159.025,41169.767,4700,658.4939999999996,346.33,15696.581785003715,1692.2024,1805.6494,255.5,1319.872,0,514.7639999999999,129428.06758500371
2021/02,합계,합계,합계,합계,23250,35453.382,400,2159.025,41169.767,4700,648.8139999999996,346.33,15187.689055003602,1642.6024,1805.7774000000002,255.5,1321.988,0,514.9039999999999,128855.77885500359
2021/01,합계,합계,합계,합계,23250,35453.382,400,2159.025,41169.767,4700,628.4739999999996,346.33,14644.22573000322,1642.6024,1805.7684000000002,255.5,1321.988,0,514.9039999999999,128291.9665300032
2020/12,합계,합계,합계,합계,23250,36453.382,400,2247.025,41169.767,4700,604.7139999999997,346.33,14574.7912270026,1635.8024,1805.7684000000002,255.5,1321.988,0,426.20399999999995,129191.27202700259
2020/11,합계,합계,합계,합계,23250,36453.382,400,2246.962,41169.767,4700,605.0139999999999,346.33,14014.969069002602,1621.6023999999998,1805.4114000000002,255.5,1317.388,0,423.09400000000005,128609.41986900258
2020/10,합계,합계,합계,합계,23250,36453.382,400,2100.7169999999996,41169.767,4700,607.2039999999998,346.33,13747.65158400265,1621.503,1805.4114000000002,255.5,1316.9379999999999,0,422.6940000000001,128197.09798400263
2020/09,합계,합계,합계,합계,23250,36453.382,400,2100.7169999999996,41169.767,4700,606.2039999999998,346.33,13422.310105002462,1621.503,1805.5114,255.5,1217.238,0,1213.1939999999997,128561.65650500245
2020/08,합계,합계,합계,합계,23250,36453.382,400,2100.7169999999996,41169.767,4700,561.824,346.33,13132.397375002263,1578.303,1805.5114,255.5,1110.7450000000003,0,1213.1939999999997,128077.67077500223
2020/07,합계,합계,합계,합계,23250,36453.382,400,2100.7169999999996,41169.767,4700,535.4739999999999,346.33,12903.198350002152,1575.402,1805.2244,255.5,1110.5580000000002,0,1213.1939999999997,127818.74675000212
2020/06,합계,합계,합계,합계,23250,36453.382,600,2100.7169999999996,41169.767,4700,535.4739999999999,346.33,12444.67328700215,1563.852,1805.2244,255.5,909.713,0,1203.2939999999996,127337.92668700212
2020/05,합계,합계,합계,합계,23250,36453.382,600,2100.7169999999996,41169.767,4700,534.476,346.33,11908.334163002248,1562.442,1805.2244,255.5,908.311,0,1203.2939999999996,126797.77756300222
2020/04,합계,합계,합계,합계,23250,36453.382,600,2100.7169999999996,41169.767,4700,489.63599999999997,346.33,11445.020799002015,1562.442,1803.0404,255.5,898.9060000000001,0,1187.2939999999996,126262.03519900198
2020/03,합계,합계,합계,합계,23250,36441.782,600,2112.3169999999996,41169.767,4700,489.696,346.33,11110.148206002428,1511.5614,1803.1034,255.5,899.5560000000002,0,1197.5919999999996,125887.3530060024
2020/02,합계,합계,합계,합계,23250,36441.782,600,2112.3169999999996,41169.767,4700,489.696,346.33,11110.148206002428,1511.5614,1803.1034,255.5,899.5560000000002,0,1197.5919999999996,125887.3530060024
2020/01,합계,합계,합계,합계,23250,36441.782,600,2112.3169999999996,41169.767,4700,468.10600000000005,346.33,10621.584698002278,1511.5614,1803.1034,255.5,899.6510000000002,0,1178.3919999999996,125358.09449800225
2019/12,합계,합계,합계,합계,23250,36391.782,600,3771.04,39655.399999999994,4700,464.14600000000013,346.33,10505.101538002278,1512.2214,1808.1034,255.5,899.6510000000002,0,1178.3919999999996,125337.66733800224
2019/11,합계,합계,합계,합계,23250,36391.782,600,3874.893,39529.755999999994,4700,446.2110000000002,346.33,9677.79467600187,1487.0004,1796.1334000000002,255.5,887.5763600000001,0,1149.2019999999998,124392.17883600184
2019/10,합계,합계,합계,합계,23250,36391.782,600,3874.893,39160.583,4700,446.2110000000002,346.33,9677.79467600187,1487.0004,1796.1334000000002,255.5,887.5763600000001,0,1149.2019999999998,124023.00583600186
2019/09,합계,합계,합계,합계,23250,36391.78200000001,600,3968.616,38203.56,4700,425.971,346.33,9090.380216,1421.6754,1795.9844,255.5,891.4009990000001,1067.711999,81.49,122490.402014
2019/08,합계,합계,합계,합계,23250,36391.78200000001,600,3968.616,38203.56,4700,425.971,346.33,9048.112311,1421.6754,1795.9844,255.5,891.4009990000001,1592.9119990000002,81.49,122973.334109
2019/07,합계,합계,합계,합계,21850,36391.78200000001,600,4068.616,38203.56,4700,375.811,346.33,8629.888151,1461.6754,1795.9844,255,791.4010000000001,1595.489,81.49,121147.02695099999
2019/06,합계,합계,합계,합계,21850,36391.782,600,4068.616,38203.56,4700,375.8110000000001,346.33,8629.888151001418,1461.6754000000003,1795.9844,255,791.4009999999998,1595.4890000000005,81.49,121147.0269510014
2019/05,합계,합계,합계,합계,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/04,합계,합계,합계,합계,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/03,합계,합계,합계,합계,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/02,합계,합계,합계,합계,21850,36391.777,600,4318.616000000001,37834.387,4700,343.691,346.33,7285.45197,1424.5304,1793.4104000000002,255,537.579,1592.8890000000001,76.7,119350.36176999999
2019/01,합계,합계,합계,합계,21850,36391.777,600,4318.616000000001,37834.387,4700,343.691,346.33,7285.45197,1424.5304,1793.4104000000002,255,537.579,1592.8890000000001,76.7,119350.36176999999
2018/12,합계,합계,합계,합계,21850,36298.737,600,4318.616000000001,37834.387,4700,343.691,346.33,7129.858867999999,1420.3304,1790.4104000000002,255,537.659,1589.939,76.7,119091.658668
2018/11,합계,합계,합계,합계,21850,36298.737,600,4318.616000000001,37834.387,4700,324.955,346.33,6327.410004,1420.3304,1789.8654000000001,255,536.271,1587.189,76.7,118265.790804
2018/10,합계,합계,합계,합계,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.8654000000001,255,536.271,1574.539,76.7,117996.004074
2018/09,합계,합계,합계,합계,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.8654000000001,255,536.271,1574.539,76.7,117996.004074
2018/08,합계,합계,합계,합계,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.6654,255,536.271,1574.539,76.7,117995.804074
2018/07,합계,합계,합계,합계,21850,36298.737,600,4241.193,37834.387,4700,295.06,346.33,5799.4387879999995,1282.7223999999999,1789.6654,255.11,536.271,1570.9289999999999,76.7,117476.543588
2018/06,합계,합계,합계,합계,21850,36205.702000000005,600,4241.193,37834.387,4700,278.34000000000003,346.33,5652.675976,1266.2223999999999,1789.6654,255.11,536.1519999999999,1570.9289999999999,78.42,117205.126776
2018/05,합계,합계,합계,합계,22528.683,36205.702000000005,600,4147.47,37834.387,4700,278.34000000000003,346.33,5652.675976,1266.2223999999999,1789.6654,255.11,536.1519999999999,1570.9289999999999,78.42,117790.086776
2018/04,합계,합계,합계,합계,22528.683,36037.802,600,4147.47,37352.697,4700,252.62,346.33,5281.807068,1266.2223999999999,1789.5744000000002,255.11,536.112,1570.9289999999999,81.51,116746.86686800001
2018/03,합계,합계,합계,합계,22528.683,36037.802,600,4147.47,37352.697,4700,252.62,346.33,5281.807068,1266.2223999999999,1789.5744000000002,255.11,536.112,1570.9289999999999,81.51,116746.86686800001
2018/02,합계,합계,합계,합계,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116427.64036299998
2018/01,합계,합계,합계,합계,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116427.64036299998
2017/12,합계,합계,합계,합계,22528.683,36097.802,600,4150.57,37832.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116907.64036299998
2016/12,합계,합계,합계,합계,23115.683,30898.424,1125,4140.54,32602.101,4700,214.82000000000002,346.33,3716.318274,1051.0064,1785.211,255.11,353.258,1561.7549999999999,0,105865.55667399999
2015/12,합계,합계,합계,합계,21715.683,26201.91,1125,4242.589999999999,32243.501,4700,171.4,0,2537.5578370000003,834.4154000000001,1770.709,255,244.89200000000002,1606.102,0,97648.76023700001
2014/12,합계,합계,합계,합계,20715.683,25910.51,1125,4254.99,30268.690000000002,4700,161.4,0,1791.182976,603.9724,1766.936,255,137.48,1524.91,0,93215.754376
2013/12,합계,합계,합계,합계,20715.683,24110.51,1125,5254.99,25789.59,4700,126.66,0,1079.8466560000002,554.593,1754.4620000000002,255,126.68,1375.9219999999998,0,86968.936656
2012/12,합계,합계,합계,합계,20715.683,24003.109999999997,1125,5292.64,21885.063000000002,4700,56.1,0,690.2725340000001,476.743,1746.03,255,93.369,766.565,0,81805.57553399999
