기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2023/08,합계,합계,합계,합계,24650,38826.922,400,108.7,1596.3,612.045,41594.989,96.54999999999995,0,4700,30222.360770003106,580.2649999999999,143400.76047000312
2023/07,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,41476.01700000001,96.54999999999995,0,4700,29695.5430000031,451.56499999999994,142567.2307000031
2023/06,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,40100.157,96.54999999999995,0,4700,29457.57657500305,453.66499999999996,140955.50427500307
2023/05,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,39605.157,96.54999999999995,0,4700,29234.12236500305,456.56499999999994,140239.95006500307
2023/04,합계,합계,합계,합계,24650,37727.882,400,108.7,1596.3,612.045,39605.157,96.54999999999995,0,4700,29099.590955003063,456.56499999999994,139065.4186550031
2023/03,합계,합계,합계,합계,24650,37727.882,400,167,1596.3,612.045,39605.157,136.54999999999995,0,4700,28984.638910003036,456.56499999999994,139048.76661000305
2023/02,합계,합계,합계,합계,24650,37727.882,400,167,1596.3,612.045,39605.157,136.54999999999995,0,4700,28782.50628000304,456.8649999999999,138846.30528000303
2023/01,합계,합계,합계,합계,24650,37727.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,28575.24737000629,456.5949999999999,138631.3363700063
2022/12,합계,합계,합계,합계,24650,37727.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27961.512710006213,456.5949999999999,138017.60171000622
2022/11,합계,합계,합계,합계,23250,37727.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27612.035820006146,456.5949999999999,136268.12482000617
2022/10,합계,합계,합계,합계,23250,36687.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27375.524108006088,455.8349999999999,134990.8531080061
2022/09,합계,합계,합계,합계,23250,36687.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27152.788823006093,455.8349999999999,134768.1178230061
2022/08,합계,합계,합계,합계,23250,36687.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27078.512513006048,456.5949999999999,134694.60151300606
2022/07,합계,합계,합계,합계,23250,36687.882,400,171.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,26634.72152300588,456.5949999999999,134290.8105230059
2022/06,합계,합계,합계,합계,23250,36937.882,400,171.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,26301.17284800588,517.504,134268.1708480059
2022/05,합계,합계,합계,합계,23250,36937.882,400,171.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,25949.913623004322,517.504,133916.91162300433
2022/04,합계,합계,합계,합계,23250,36937.882,400,171.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,25712.861428005504,517.60336,133679.9587880055
2022/03,합계,합계,합계,합계,23250,36937.882,400,171.3,1596.3,612.0450000000001,39605.15700000001,176.81,0,4700,25596.755028004132,514.70336,133560.95238800414
2022/02,합계,합계,합계,합계,23250,36937.882,400,171.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,25105.26438300537,514.69882,133069.45720300538
2022/01,합계,합계,합계,합계,23250,36937.882,400,1371.3,1596.3,612.045,39605.157,176.80999999999995,0,4700,24959.314258005084,514.69882,134123.5070780051
2021/12,합계,합계,합계,합계,23250,36937.882,400,1371.3,2077.99,612.045,39605.157,175.67999999999995,0,4700,24493.732893004726,515.602,134139.46889300473
2021/11,합계,합계,합계,합계,23250,37437.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,24044.10103800459,515.602,133676.4570380046
2021/10,합계,합계,합계,합계,23250,36397.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,23823.0385680046,515.602,132415.3945680046
2021/09,합계,합계,합계,합계,23250,36397.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,23517.27997500462,515.482,132109.43597500463
2021/08,합계,합계,합계,합계,23250,36397.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,23057.817726004312,515.2019999999999,131649.6937260043
2021/07,합계,합계,합계,합계,23250,36397.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,22750.67138600411,514.204,131341.54938600413
2021/06,합계,합계,합계,합계,23250,35379.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,22125.76170300383,514.6709999999999,129699.10670300384
2021/05,합계,합계,합계,합계,23250,35379.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,22010.127410003803,514.6039999999999,129583.4054100038
2021/04,합계,합계,합계,합계,23250,34333.426999999996,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,21975.140570003798,514.6039999999999,128501.9635700038
2021/03,합계,합계,합계,합계,23250,35459.882,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,21774.629585003713,514.7639999999999,129428.06758500372
2021/02,합계,합계,합계,합계,23250,35453.382,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,21208.7008550036,514.9039999999999,128855.7788550036
2021/01,합계,합계,합계,합계,23250,35453.382,400,1371.3,1596.3,612.045,39573.467000000004,175.67999999999995,0,4700,20644.888530003216,514.9039999999999,128291.96653000322
2020/12,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,612.0450000000001,39573.467000000004,175.67999999999995,0,4700,20544.894027002596,426.20399999999995,129191.2720270026
2020/11,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,612.0450000000001,39573.467,175.61699999999993,0,4700,19966.2148690026,423.09400000000005,128609.41986900258
2020/10,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,19700.537984002647,422.6940000000001,128197.09798400263
2020/09,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,19274.59650500246,1213.1939999999997,128561.65650500245
2020/08,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,18790.61077500226,1213.1939999999997,128077.67077500225
2020/07,합계,합계,합계,합계,23250,36453.382,400,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,18531.68675000215,1213.1939999999997,127818.74675000213
2020/06,합계,합계,합계,합계,23250,36453.382,600,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,17860.766687002146,1203.2939999999996,127337.92668700212
