기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2016/05,52.33894682,61.17166782,73.86930639,61.67278294,80.29941028,77.76084981,81.62013288,68.273778,72.4813433,69.4550546,69.2607851,73.6459541,68.2418931,68.0590181,95.3765469,82.3661093,68.14009374,62.85318431
2016/04,57.91889862,66.1240326,82.09959441,66.72845014,87.23452923,86.23640359,95.82758005,75.13459,0,74.7041589,75.6724769,80.9722696,74.8122004,74.9311882,96.0784535,86.7376063,74.92838318,68.33472418
2016/03,72.53424974,79.80331289,99.48166646,80.63078287,108.55275886,110.8601469,124.06297936,87.1510607,0,87.2468548,86.7980508,97.981191,87.3840137,87.0930101,97.11593,93.3238709,86.92291452,86.37264847
2016/02,73.18803356,81.54985719,104.61851524,82.43303105,114.20613763,115.30886417,126.04974476,86.572312,93.6799993,84.3339392,86.96695,102.1912616,84.2187869,86.3306595,97.0005862,92.7491871,87.80803748,88.45106712
2016/01,78.18521329,86.08053271,108.88798943,86.92220242,121.76628495,121.70577067,138.72819851,89.9194473,90.6694993,90.4251969,92.0125757,108.6188622,91.0983231,90.031337,97.5194004,95.749601,89.05262619,94.10576771
2015/12,74.62369018,82.66081699,90.44177276,82.90402323,129.70273941,130.56542277,139.82884547,107.8052919,0,208.8377394,96.8666263,109.9777541,94.7275354,94.9486473,98.2757326,105.6623764,94.8390009,92.65500705
2015/11,69.43578059,77.91267932,86.71075692,78.15430824,119.0518109,119.25516157,129.35932066,137.241821,0,98.0849571,96.7657295,102.4025446,95.8743037,94.7641979,85.9514945,93.2100819,94.27784936,85.03442184
2015/10,67.20948627,76.99599876,82.3926886,77.13837938,121.56873669,109.04135438,121.91769023,97.9341142,0,211.9372933,99.2265751,106.3100061,98.0388981,97.9848695,98.6757764,110.4195827,97.98942047,82.70632728
2015/09,63.70032092,74.52446408,81.27947704,74.74388065,167.3663622,111.89648392,115.21358587,99.9359591,0,93.3832236,99.6579782,100.1784735,84.635043,88.1229684,97.7367706,96.6291735,88.76428725,81.46242302
2015/08,64.87082552,73.85501134,82.11313895,74.12684611,196.31622751,111.90606772,112.76081595,105.5485274,0,94.2535427,96.0592646,101.5806285,85.0872361,87.9282235,97.5314529,96.8556044,86.80709534,82.24847592
2015/07,61.83515481,70.96446361,84.30807601,71.39205858,279.54751805,117.08600638,113.97758733,81.1205257,0,90.4376202,91.9584256,95.3806641,78.0732355,81.1558733,96.4156455,92.8399649,80.11093502,78.47895216
