기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,배출권거래비용정산금,전력시장_계,PPA_계,전력시장+PPA_계
2024/02,7113.104281950001,17119.34479797,169.78325521,17289.12805318,50.393181129999995,22879.937899930006,763.2018422900001,658.3685045799998,233.35971029,693.1668958899987,328.85479227999997,343.09407121,40.68204548999999,1158.5431538499997,0,3456.069173589998,315.4611,0,51867.29551564,1369.53,53236.82551564
2024/01,8437.37844177,23063.363616150004,343.40854376999994,23406.772159920005,83.68736215000001,31082.699766620008,1015.6723554699998,820.2244356800002,291.02521714,989.4480887199996,534.48096974,354.94653063999976,48.959642249999995,1414.3470802900001,0,4453.431964459999,357.8019,0,68837.44402113999,1787.26,70624.70402114
2023/12,14300.536088509998,18678.10756197,172.64396298,18850.75152495,88.48074964,25084.38975393,779.59546494,791.4149114599999,269.36078848,639.0827087000001,526.0166783299999,412.7049702399999,45.69064938,1450.39758571,0,4134.668292299999,299.8484,0,63538.27029203999,1237.083,64775.35329203999
2023/11,8417.24135835,14674.75650584,92.84667438000001,14767.60318022,46.99588573999999,20497.26574776,737.5001241599999,697.9923768399999,248.5044135,886.4168508700038,537.32072338,317.62460645999994,39.63149877,1220.2499166699997,0,3947.7403864900034,207.4655,0,48621.81219546998,1653.3595,50275.17169546998
2023/10,8526.355087779999,14330.330726009995,188.72409077999998,14519.054816789996,63.8499906,20101.214146329996,800.40053401,776.9408115399998,181.01114250999998,1384.9266233600006,316.25250146999986,433.1529468900003,55.73909113,1357.4238384699995,0,4505.44695537,293.2399,0,48809.56143668997,2514.3509,51323.912336689966
2023/09,8720.29248119,19400.509282000006,314.42318287,19714.932464870006,96.41312826,23338.60891358,759.8906711100001,720.29283644,185.37237113999998,1235.8841014000036,189.12032915000003,682.5300205199998,47.634041440000004,1584.5932422600004,0,4645.426942350003,343.3993,0,57618.96385241999,2299.38,59918.34385241999
2023/08,9917.956701870002,27242.163752829994,304.41869624,27546.582449069996,163.20775410000002,28012.533434999994,729.2121645400001,720.85923931,308.71899441,1500.8596001099972,238.9299659099999,681.0952848800001,54.74249066,1765.8147204099996,0,5271.0202956899975,337.5455,0,71978.05827385998,2739.91,74717.96827385998
2023/07,10162.27497935,25419.61182989,199.92872228,25619.54055217,156.28079924,27675.28466242,700.6770106,736.04659792,182.71018844999998,1247.1896195299987,367.42818957,1107.8600781499997,50.099881859999996,1737.80145702,0,5429.136012499998,339.218,0,70082.41197796002,2387.05,72469.46197796002
2023/06,5234.32759643,20977.538944019998,175.90573791999998,21153.444681939996,131.77125347,22423.499038629998,629.3784551699999,660.0291657599998,0,1480.307916800002,276.7440536900001,519.5202850799998,48.74581498,1420.53180146,0,4405.8790377700025,280.0518,0,54258.351823579986,2972.695,57231.046823579985
2023/05,4756.730237159999,18089.08546977,85.56853104,18174.654000810002,168.06426488,21061.119498209995,754.2636807200001,645.72865194,0,1432.0756083699955,337.49528626,460.9837431299999,50.219141609999994,1292.8051187800004,0,4219.307550089996,290.6633,3880.42590821,53305.228463609994,2865.801,56171.02946361
