model,split,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,delta_mae,delta_direction_accuracy
ridge,train,5.777055456663913,8.401062553091327,5.736064101875122,5.622966595348469,0.9320324194809788,0.6115702479338843,0.6923076923076923,0.6923076923076923,0.6923076923076923,150.173,122,5.777055456663913,0.639344262295082
monthly_ar_ridge,train,6.318866480963409,9.017017075177781,6.283421318805107,6.153608728791247,0.9217004695438755,0.5537190082644629,0.8181818181818182,0.6923076923076923,0.7500000000000001,150.173,122,6.318866480963409,0.6147540983606558
delta_ridge,train,6.351292092467866,8.909756612412735,6.154566303631711,6.088072820765926,0.9235521889403429,0.6115702479338843,0.6923076923076923,0.6923076923076923,0.6923076923076923,150.173,122,6.351292092467866,0.6311475409836066
delta_ar_ridge,train,6.5896002647533,9.271697940441264,6.433626008600131,6.34699511169322,0.9172149486624666,0.5785123966942148,0.9,0.6923076923076923,0.7826086956521738,150.173,122,6.5896002647533,0.6147540983606558
persistence_monthly,train,7.300901639344262,10.099405070937854,7.185058851229844,7.076176755550216,0.9017743398341566,0.5206611570247934,0.8333333333333334,0.7692307692307693,0.8,150.173,122,7.300901639344262,0.0
naive_lag_1m,train,10.084836065573771,13.85625978559516,10.39716404335283,10.096616187478517,0.8151048974361473,0.5537190082644629,0.5833333333333334,0.5384615384615384,0.5599999999999999,150.173,122,10.084836065573771,0.4918032786885246
seasonal_naive_lag_12m,train,21.526475409836067,29.971982066863603,22.837282680084485,20.898406012875405,0.1349040044989086,0.48760330578512395,0.23076923076923078,0.23076923076923078,0.23076923076923078,150.173,122,21.526475409836067,0.45081967213114754
ridge,valid,16.875498561755464,23.45119486447698,10.081267791831582,9.485656780270114,0.7439503073796674,0.52,0.5,0.6666666666666666,0.5714285714285715,246.89,26,16.875498561755464,0.7692307692307693
delta_ridge,valid,17.10123901379766,22.393154040707195,9.972371907774885,9.488385665140422,0.7665333545735642,0.52,0.4,0.6666666666666666,0.5,246.89,26,17.10123901379766,0.5769230769230769
monthly_ar_ridge,valid,17.359199870888798,23.358331145102028,10.487874717673408,10.02456535498369,0.7459741401580587,0.52,0.3333333333333333,0.3333333333333333,0.3333333333333333,246.89,26,17.359199870888798,0.6923076923076923
delta_ar_ridge,valid,17.488826659058667,23.01474785105978,10.240324223151346,9.885375697215823,0.753392233255677,0.48,0.3333333333333333,0.3333333333333333,0.3333333333333333,246.89,26,17.488826659058667,0.6153846153846154
delta_lightgbm,valid,19.91941484426774,25.39966468809883,11.292650384540853,11.22936515726795,0.6996343432773255,0.48,0.0,0.0,0.0,246.89,26,19.91941484426774,0.46153846153846156
persistence_monthly,valid,20.225769230769234,25.82758610180506,11.62485241585205,11.321743540532339,0.689428253672923,0.48,0.0,0.0,0.0,246.89,26,20.225769230769234,0.0
naive_lag_1m,valid,30.710384615384616,40.982210446447645,18.115052100292377,17.47821005638815,0.21803904875740066,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,246.89,26,30.710384615384616,0.5
lightgbm,valid,33.841539975465075,47.87283059719144,16.26022489328879,18.27048625023514,-0.06701990687062143,0.48,0.0,0.0,0.0,246.89,26,33.841539975465075,0.6153846153846154
seasonal_naive_lag_12m,valid,88.07192307692307,98.68376612267008,50.84938548700478,55.26112546956535,-3.5340440872064907,0.48,0.0,0.0,0.0,246.89,26,88.07192307692307,0.38461538461538464
